Time,Degree,Velocity
2584.39,0.00,-0.00
2589.50,0.00,-0.00
2594.62,0.00,-0.00
2599.73,0.00,-0.00
2604.85,0.00,-0.00
2609.97,0.00,-0.00
2615.08,0.00,-0.00
2620.20,0.00,-0.00
2625.32,0.00,-0.00
2630.43,0.00,-0.00
2635.55,0.00,-0.00
2640.66,0.00,-0.00
2645.78,0.00,-0.00
2650.89,0.00,-0.00
2656.03,0.00,-0.00
2661.15,0.00,-0.00
2666.27,0.00,-0.00
2671.38,0.00,-0.00
2676.50,0.00,-0.00
2681.61,0.00,-0.00
2686.73,0.00,-0.00
2691.84,0.00,-0.00
2696.96,0.00,-0.00
2702.07,0.00,-0.00
2707.19,0.00,-0.00
2712.30,0.00,-0.00
2717.41,0.00,-0.00
2722.53,0.00,-0.00
2727.64,0.00,-0.00
2732.76,0.00,-0.00
2737.87,0.00,-0.00
2742.99,0.00,-0.00
2748.10,0.00,-0.00
2753.22,0.00,-0.00
2758.33,0.00,-0.00
2763.44,0.00,-0.00
2768.56,0.00,-0.00
2773.73,0.00,-0.00
2778.88,0.00,-0.00
2784.41,0.00,-0.00
2789.58,0.00,-0.00
2794.74,0.00,-0.00
2799.91,0.00,-0.00
2805.07,0.00,-0.00
2810.23,0.00,-0.00
2815.39,0.00,-0.00
2820.53,0.00,-0.00
2825.66,0.00,-0.00
2830.78,0.00,-0.00
2835.90,0.00,-0.00
2841.02,0.00,-0.00
2846.14,0.00,-0.00
2851.26,0.00,-0.00
2856.39,0.00,-0.00
2861.51,0.00,-0.00
2866.63,0.00,-0.00
2871.74,0.00,-0.00
2876.85,0.00,-0.00
2881.96,0.00,-0.00
2887.08,0.00,-0.00
2892.19,0.00,-0.00
2897.30,0.00,-0.00
2902.41,0.00,-0.00
2907.52,0.00,-0.00
2912.64,0.00,-0.00
2917.75,0.00,-0.00
2922.86,0.00,-0.00
2927.97,0.00,-0.00
2933.08,0.00,-0.00
2938.20,0.00,-0.00
2943.31,0.00,-0.00
2948.43,0.00,-0.00
2953.55,0.00,-0.00
2958.66,0.00,-0.00
2963.79,0.00,-0.00
2968.91,0.00,-0.00
2974.04,0.00,-0.00
2979.16,0.00,-0.00
2984.32,0.00,-0.00
2989.44,0.00,-0.00
2994.57,0.00,-0.00
2999.69,0.00,-0.00
3004.81,0.00,-0.00
3009.93,0.00,-0.00
3015.06,0.00,-0.00
3020.18,0.00,-0.00
3025.31,0.00,-0.00
3030.43,0.00,-0.00
3035.55,0.00,-0.00
3040.67,0.00,-0.00
3045.80,0.00,-0.00
3050.93,0.00,-0.00
3056.05,0.00,-0.00
3061.17,0.00,-0.00
3066.30,0.00,-0.00
3071.42,0.00,-0.00
3076.54,0.00,-0.00
3081.66,0.00,-0.00
3086.79,0.00,-0.00
3091.91,0.00,-0.00
3097.03,0.00,-0.00
3102.15,0.00,-0.00
3107.28,0.00,-0.00
3112.40,0.00,-0.00
3117.53,0.00,-0.00
3122.65,0.00,-0.00
3127.77,0.00,-0.00
3132.89,0.00,-0.00
3138.01,0.00,-0.00
3143.13,0.00,-0.00
3148.26,0.00,-0.00
3153.38,0.00,-0.00
3158.50,0.00,-0.00
3163.65,0.00,-0.00
3168.77,0.00,-0.00
3173.89,0.00,-0.00
3179.01,0.00,-0.00
3184.14,0.00,-0.00
3189.26,0.00,-0.00
3194.39,0.00,-0.00
3199.51,0.00,-0.00
3204.63,0.00,-0.00
3209.75,0.00,-0.00
3214.88,0.00,-0.00
3220.00,0.00,-0.00
3225.13,0.00,-0.00
3230.25,0.00,-0.00
3235.38,0.00,-0.00
3240.50,0.00,-0.00
3245.62,0.00,-0.00
3250.74,0.00,-0.00
3255.87,0.00,-0.00
3260.99,0.00,-0.00
3266.12,0.00,-0.00
3271.24,0.00,-0.00
3276.36,0.00,-0.00
3281.48,0.00,-0.00
3286.59,0.00,-0.00
3291.71,0.00,-0.00
3296.83,0.00,-0.00
3301.94,0.00,-0.00
3307.06,0.00,-0.00
3312.18,0.00,-0.00
3317.30,0.00,-0.00
3322.41,0.00,-0.00
3327.53,0.00,-0.00
3332.64,0.00,-0.00
3337.76,0.00,-0.00
3342.88,0.00,-0.00
3347.99,0.00,-0.00
3353.11,0.00,-0.00
3358.23,0.00,-0.00
3363.34,0.00,-0.00
3368.48,0.00,-0.00
3373.61,0.00,-0.00
3378.73,0.00,-0.00
3383.97,0.00,-0.00
3389.09,0.00,-0.00
3394.21,0.00,-0.00
3399.34,0.00,-0.00
3404.46,0.00,-0.00
3409.58,0.00,-0.00
3414.72,0.00,-0.00
3419.85,0.00,-0.00
3424.98,0.00,-0.00
3430.10,0.00,-0.00
3435.22,0.00,-0.00
3440.34,0.00,-0.00
3445.47,0.00,-0.00
3450.59,0.00,-0.00
3455.72,0.00,-0.00
3460.84,0.00,-0.00
3465.96,0.00,-0.00
3471.09,0.00,-0.00
3476.22,0.00,-0.00
3481.34,0.00,-0.00
3486.46,0.00,-0.00
3491.59,0.00,-0.00
3496.71,0.00,-0.00
3501.83,0.00,-0.00
3506.95,0.00,-0.00
3512.07,0.00,-0.00
3517.20,0.00,-0.00
3522.32,0.00,-0.00
3527.45,0.00,-0.00
3532.57,0.00,-0.00
3537.69,0.00,-0.00
3542.82,0.00,-0.00
3547.94,0.00,-0.00
3553.06,0.00,-0.00
3558.18,0.00,-0.00
3563.30,0.00,-0.00
3568.43,0.00,-0.00
3573.56,0.00,-0.00
3578.68,0.00,-0.00
3583.79,0.00,-0.00
3588.91,0.00,-0.00
3594.02,0.00,-0.00
3599.14,0.00,-0.00
3604.25,0.00,-0.00
3609.37,0.00,-0.00
3614.49,0.00,-0.00
3619.61,0.00,-0.00
3624.74,0.00,-0.00
3629.86,0.00,-0.00
3634.99,0.00,-0.00
3640.11,-0.24,-48.00
3645.25,-0.72,-96.00
3650.38,-1.20,-96.00
3655.50,-1.92,-144.00
3660.62,-2.40,-96.00
3665.74,-2.88,-96.00
3670.86,-3.60,-144.00
3675.98,-4.32,-144.00
3681.10,-5.04,-144.00
3686.23,-5.52,-96.00
3691.35,-6.24,-144.00
3696.48,-6.96,-144.00
3701.60,-7.44,-96.00
3706.73,-8.16,-144.00
3711.85,-8.64,-96.00
3716.98,-9.12,-96.00
3722.10,-9.60,-96.00
3727.23,-10.08,-96.00
3732.36,-10.56,-96.00
3737.48,-11.04,-96.00
3742.61,-11.52,-96.00
3747.74,-12.00,-96.00
3752.86,-12.48,-96.00
3757.99,-12.96,-96.00
3763.11,-13.44,-96.00
3768.23,-13.92,-96.00
3773.35,-14.40,-96.00
3778.47,-14.88,-96.00
3783.59,-15.36,-96.00
3788.71,-16.08,-144.00
3793.83,-16.56,-96.00
3798.96,-17.28,-144.00
3804.08,-17.76,-96.00
3809.20,-18.48,-144.00
3814.32,-19.20,-144.00
3819.48,-19.92,-144.00
3824.63,-20.40,-96.00
3829.80,-21.12,-144.00
3834.96,-21.60,-96.00
3840.12,-22.32,-144.00
3845.31,-23.04,-144.00
3850.52,-23.52,-96.00
3855.68,-24.24,-144.00
3860.84,-24.96,-144.00
3865.97,-25.68,-144.00
3871.10,-26.16,-96.00
3876.22,-26.88,-144.00
3881.33,-27.60,-144.00
3886.43,-28.08,-96.00
3891.54,-28.80,-144.00
3896.64,-29.28,-96.00
